Time, Error [mm]
37.7388, -0.00450697
37.7391, -0.00450697
37.7397, -0.00450697
37.7489, -0.00450962
37.7493, -0.00450962
37.7507, -0.00450962
37.7509, -0.00450962
37.7514, -0.00450962
37.761, -0.0045118
37.7613, -0.0045118
37.7627, -0.0045118
37.7628, -0.0045118
37.7633, -0.0045118
37.7726, -0.00451364
37.7729, -0.00451364
37.7748, -0.00451364
37.775, -0.00451364
37.7755, -0.00451364
37.7845, -0.00451552
37.7848, -0.00451552
37.7868, -0.00451552
37.787, -0.00451552
37.7871, -0.00451552
37.7876, -0.00451552
37.7971, -0.00451743
37.7974, -0.00451743
37.7988, -0.00451743
37.7991, -0.00451743
37.7997, -0.00451743
37.8086, -0.00451826
37.809, -0.00451826
37.8108, -0.00451826
37.811, -0.00451826
37.8116, -0.00451826
37.8207, -0.00451969
37.8211, -0.00451969
37.8229, -0.00451969
37.8231, -0.00451969
37.8236, -0.00451969
37.8329, -0.00452115
37.8332, -0.00452115
37.8349, -0.00452115
37.8351, -0.00452115
37.8356, -0.00452115
37.8447, -0.00452217
37.845, -0.00452217
37.8469, -0.00452217
37.847, -0.00452217
37.8476, -0.00452217
37.8568, -0.00452306
37.8571, -0.00452306
37.8589, -0.00452306
37.859, -0.00452306
37.8595, -0.00452306
37.8679, -0.0045236
37.8683, -0.0045236
37.8698, -0.0045236
37.87, -0.0045236
37.8705, -0.0045236
37.8792, -0.00452348
37.8795, -0.00452348
37.8807, -0.00452348
37.8809, -0.00452348
37.8814, -0.00452348
37.8899, -0.00452378
37.8903, -0.00452378
37.8918, -0.00452378
37.892, -0.00452378
37.8925, -0.00452378
37.9008, -0.00452419
37.9011, -0.00452419
37.9028, -0.00452419
37.903, -0.00452419
37.9036, -0.00452419
37.9125, -0.00452539
37.9128, -0.00452539
37.9149, -0.00452539
37.9151, -0.00452539
37.916, -0.00452539
37.9261, -0.00452586
37.9263, -0.00452586
37.9279, -0.00452586
37.9281, -0.00452586
37.9286, -0.00452586
37.9383, -0.00452658
37.9387, -0.00452658
37.9408, -0.00452658
37.9411, -0.00452658
37.9416, -0.00452658
57.2457, -0.00387851
57.246, -0.00387851
57.2478, -0.00387851
57.2479, -0.00387851
57.2484, -0.00387851
57.2571, -0.00389261
57.2574, -0.00389261
57.2587, -0.00389261
57.2588, -0.00389261
57.2593, -0.00389261
57.2668, -0.00388832
57.2671, -0.00388832
57.2689, -0.00388832
57.2691, -0.00388832
57.2696, -0.00388832
57.2774, -0.00388323
57.2778, -0.00388323
57.2797, -0.00388323
57.2798, -0.00388323
57.2803, -0.00388323
57.2883, -0.00387637
57.2887, -0.00387637
57.2908, -0.00387637
57.291, -0.00387637
57.2915, -0.00387637
57.2991, -0.00386943
57.2995, -0.00386943
57.3018, -0.00386943
57.3019, -0.00386943
57.3024, -0.00386943
57.3105, -0.00388776
57.3109, -0.00388776
57.3128, -0.00388776
57.3129, -0.00388776
57.3134, -0.00388776
57.3216, -0.00390019
57.322, -0.00390019
57.3239, -0.00390019
57.324, -0.00390019
57.3244, -0.00390019
57.3324, -0.00394829
57.3328, -0.00394829
57.3348, -0.00394829
57.3349, -0.00394829
57.3353, -0.00394829
57.3435, -0.00398357
57.3439, -0.00398357
57.3458, -0.00398357
57.346, -0.00398357
57.3464, -0.00398357
57.3549, -0.00402449
57.3553, -0.00402449
57.3569, -0.00402449
57.357, -0.00402449
57.3574, -0.00402449
57.3653, -0.00406814
57.3656, -0.00406814
57.3678, -0.00406814
57.3679, -0.00406814
57.3683, -0.00406814
