Time, F.x, F.y, F.z, Key
55.4238, 0, 0, 0, X
55.4242, 0, 0, 0, X
55.4485, 0, 0, 0, X
55.4487, 0, 0, 0, X
55.4493, 0, 0, 0, X
55.4584, 0, 0, 0, X
55.459, 0, 0, 0, X
55.4871, 0, 0, 0, X
55.4873, 0, 0, 0, X
55.4877, 0, 0, 0, X
55.4963, 0, 0, 0, X
55.4969, 0, 0, 0, X
55.5252, 0, 0, 0, X
55.5256, 0, 0, 0, X
55.5262, 0, 0, 0, X
55.5264, 0, 0, 0, X
55.5269, 0, 0, 0, X
55.5359, 0, 0, 0, X
55.5365, 0, 0, 0, X
55.5652, 0, 0, 0, X
55.5653, 0, 0, 0, X
55.5658, 0, 0, 0, X
55.5745, 0, 0, 0, X
55.5752, 0, 0, 0, X
55.6033, 0, 0, 0, X
55.6034, 0, 0, 0, X
55.604, 0, 0, 0, X
55.6124, 0, 0, 0, X
55.6131, 0, 0, 0, X
55.6411, 0, 0, 0, X
55.6413, 0, 0, 0, X
55.6419, 0, 0, 0, X
55.6509, 0, 0, 0, X
55.6514, 0, 0, 0, X
55.6791, 0, 0, 0, X
55.6793, 0, 0, 0, X
55.6797, 0, 0, 0, X
55.6886, 0, 0, 0, X
55.6892, 0, 0, 0, X
55.7174, 0, 0, 0, X
55.7176, 0, 0, 0, X
55.7182, 0, 0, 0, X
55.7266, 0, 0, 0, X
55.727, 0, 0, 0, X
55.7553, 0, 0, 0, X
55.7554, 0, 0, 0, X
55.7561, 0, 0, 0, X
55.7644, 0, 0, 0, X
55.765, 0, 0, 0, X
55.7913, 0, 0, 0, X
55.7915, 0, 0, 0, X
55.792, 0, 0, 0, X
55.802, 0, 0, 0, X
55.8028, 0, 0, 0, X
55.8285, 0, 0, 0, X
55.8289, 0, 0, 0, X
55.8291, 0, 0, 0, X
55.8297, 0, 0, 0, X
55.8387, 0, 0, 0, X
55.8393, 0, 0, 0, X
55.8654, 0, 0, 0, X
55.8656, 0, 0, 0, X
55.8663, 0, 0, 0, X
55.875, 0, 0, 0, X
55.8755, 0, 0, 0, X
55.9034, 0, 0, 0, X
55.9036, 0, 0, 0, X
55.9042, 0, 0, 0, X
55.9129, 0, 0, 0, X
55.9135, 0, 0, 0, X
55.9414, 0, 0, 0, X
55.9416, 0, 0, 0, X
55.9421, 0, 0, 0, X
55.9515, 0, 0, 0, X
55.952, 0, 0, 0, X
55.9794, 0, 0, 0, X
55.9796, 0, 0, 0, X
55.9801, 0, 0, 0, X
55.9895, 0, 0, 0, X
55.9898, 0, 0, 0, X
56.0175, 0, 0, 0, X
56.0176, 0, 0, 0, X
56.0182, 0, 0, 0, X
56.0271, 0, 0, 0, X
56.0277, 0, 0, 0, X
56.0555, 0, 0, 0, X
56.0557, 0, 0, 0, X
56.0562, 0, 0, 0, X
56.0654, 0, 0, 0, X
56.0658, 0, 0, 0, X
56.0934, 0, 0, 0, X
56.0936, 0, 0, 0, X
56.0942, 0, 0, 0, X
56.1035, 0, 0, 0, X
56.104, 0, 0, 0, X
56.1315, 0, 0, 0, X
56.1327, 0, 0, 0, X
56.1329, 0, 0, 0, X
56.1335, 0, 0, 0, X
56.1421, 0, 0, 0, X
56.1428, 0, 0, 0, X
56.1705, 0, 0, 0, X
56.1707, 0, 0, 0, X
56.1712, 0, 0, 0, X
56.1799, 0, 0, 0, X
56.1805, 0, 0, 0, X
56.2065, 0, 0, 0, X
56.2066, 0, 0, 0, X
56.2072, 0, 0, 0, X
56.2168, 0, 0, 0, X
56.2178, 0, 0, 0, X
56.2457, 0, 0, 0, X
56.246, 0, 0, 0, X
56.2467, 0, 0, 0, X
56.2569, 0, 0, 0, X
56.2575, 0, 0, 0, X
56.2855, 0, 0, 0, X
56.2857, 0, 0, 0, X
56.2862, 0, 0, 0, X
56.2945, 0, 0, 0, X
56.2951, 0, 0, 0, X
56.3226, 0, 0, 0, X
56.3227, 0, 0, 0, X
56.3233, 0, 0, 0, X
56.3328, 0, 0, 0, X
56.3332, 0, 0, 0, X
56.3597, 0, 0, 0, X
56.3599, 0, 0, 0, X
56.3604, 0, 0, 0, X
56.3691, 0, 0, 0, X
56.3696, 0, 0, 0, X
56.3957, 0, 0, 0, X
56.3959, 0, 0, 0, X
56.3966, 0, 0, 0, X
56.4052, 0, 0, 0, X
56.406, 0, 0, 0, X
56.4317, 0, 0, 0, X
56.4319, 0, 0, 0, X
56.4325, 0, 0, 0, X
56.4413, 0, 0, 0, X
56.4419, 0, 0, 0, X
56.4698, 0, 0, 0, X
56.47, 0, 0, 0, X
56.4701, 0, 0, 0, X
56.4706, 0, 0, 0, X
56.4796, 0, 0, 0, X
56.4802, 0, 0, 0, X
56.5088, 0, 0, 0, X
56.509, 0, 0, 0, X
56.5095, 0, 0, 0, X
56.5183, 0, 0, 0, X
56.5188, 0, 0, 0, X
56.5449, 0, 0, 0, X
56.5451, 0, 0, 0, X
56.5457, 0, 0, 0, X
56.5551, 0, 0, 0, X
56.5556, 0, 0, 0, X
56.5818, 0, 0, 0, X
56.582, 0, 0, 0, X
56.5827, 0, 0, 0, X
56.5914, 0, 0, 0, X
56.5919, 0, 0, 0, X
56.6178, 0, 0, 0, X
56.6181, 0, 0, 0, X
56.6187, 0, 0, 0, X
56.6272, 0, 0, 0, X
56.6279, 0, 0, 0, X
56.6579, 0, 0, 0, X
56.6581, 0, 0, 0, X
56.6585, 0, 0, 0, X
56.6682, 0, 0, 0, X
56.6689, 0, 0, 0, X
56.6968, 0, 0, 0, X
56.697, 0, 0, 0, X
56.6979, 0, 0, 0, X
56.7063, 0.0405308, 0.00577, 0.0611398, X
56.707, 0.0404526, 0.0057673, 0.0611918, X
56.7348, 0.0405308, 0.00577, 0.0611398, X
56.735, 0.0405308, 0.00577, 0.0611398, X
56.7355, 0.0405308, 0.00577, 0.0611398, X
56.7447, 0.0405269, 0.00576102, 0.060964, X
56.7455, 0.0405269, 0.00576102, 0.060964, X
56.7729, 0.0407571, 0.00576957, 0.0608095, X
56.773, 0.0407571, 0.00576957, 0.0608095, X
56.7732, 0.0407571, 0.00576957, 0.0608095, X
56.7736, 0.0407571, 0.00576957, 0.0608095, X
56.783, 0.0409294, 0.00579396, 0.0610665, X
56.7837, 0.0409294, 0.00579396, 0.0610665, X
56.8098, 0.0410572, 0.00579877, 0.0609802, X
56.8102, 0.0410572, 0.00579877, 0.0609802, X
56.8107, 0.0409791, 0.0057961, 0.061033, X
56.82, 0.0414785, 0.00585827, 0.0616059, X
56.8205, 0.0414785, 0.00585827, 0.0616059, X
56.8459, 0.0413433, 0.00587096, 0.0616955, X
56.846, 0.0413433, 0.00587096, 0.0616955, X
56.8468, 0.0413433, 0.00587096, 0.0616955, X
56.8561, 0.0418051, 0.00596266, 0.0625615, X
56.8566, 0.0418051, 0.00596266, 0.0625615, X
56.882, 0.0417505, 0.00596096, 0.0625981, X
56.8822, 0.0417505, 0.00596096, 0.0625981, X
56.8828, 0.0417505, 0.00596096, 0.0625981, X
56.8917, 0.0423968, 0.00605324, 0.0635672, X
56.8925, 0.0423968, 0.00605324, 0.0635672, X
56.9181, 0.0422599, 0.00604862, 0.0636587, X
56.9183, 0.0422599, 0.00604862, 0.0636587, X
56.9189, 0.0422599, 0.00604862, 0.0636587, X
56.9272, 0.0429444, 0.00614399, 0.0646327, X
56.9279, 0.0429444, 0.00614399, 0.0646327, X
56.9521, 0.0429708, 0.00614515, 0.0646151, X
56.9523, 0.0429708, 0.00614515, 0.0646151, X
56.9529, 0.0429708, 0.00614515, 0.0646151, X
56.9625, 0.0438718, 0.006274, 0.06597, X
56.9628, 0.0438718, 0.006274, 0.06597, X
56.9873, 0.0435335, 0.00626194, 0.0661948, X
56.9875, 0.0436182, 0.00626497, 0.0661388, X
56.9882, 0.0436182, 0.00626497, 0.0661388, X
56.997, 0.044191, 0.00636583, 0.0673826, X
56.9977, 0.044191, 0.00636583, 0.0673826, X
57.0221, 0.0437589, 0.00635021, 0.0676655, X
57.0223, 0.0437589, 0.00635021, 0.0676655, X
57.0229, 0.0437589, 0.00635021, 0.0676655, X
57.0322, 0.044347, 0.00644511, 0.0687679, X
57.0326, 0.044347, 0.00644511, 0.0687679, X
57.0583, 0.0441708, 0.00643868, 0.0688818, X
57.0584, 0.0441708, 0.00643868, 0.0688818, X
57.0591, 0.0441708, 0.00643868, 0.0688818, X
57.0685, 0.0447828, 0.00651814, 0.0696395, X
57.0692, 0.0447828, 0.00651814, 0.0696395, X
57.0933, 0.0450498, 0.00652787, 0.0694661, X
57.0935, 0.0450498, 0.00652787, 0.0694661, X
57.0937, 0.0450498, 0.00652787, 0.0694661, X
57.0942, 0.0450498, 0.00652787, 0.0694661, X
57.1036, 0.0454373, 0.00658401, 0.0700636, X
57.1043, 0.0455269, 0.00658726, 0.0700051, X
57.1281, 0.0455169, 0.00671192, 0.0699998, X
57.1282, 0.0455242, 0.00660598, 0.0700051, X
57.1288, 0.0455242, 0.00660598, 0.0700051, X
57.1382, 0.0459113, 0.00666216, 0.0706004, X
57.1388, 0.0459113, 0.00666216, 0.0706004, X
57.163, 0.0459086, 0.00668103, 0.0706004, X
57.1633, 0.0459086, 0.00668103, 0.0706004, X
57.164, 0.0459086, 0.00668103, 0.0706004, X
57.1724, 0.0461686, 0.00675765, 0.0710088, X
57.1733, 0.0462594, 0.00676108, 0.0709493, X
57.1978, 0.0461658, 0.00677663, 0.0710088, X
57.1979, 0.0461658, 0.00677663, 0.0710088, X
57.1984, 0.0461658, 0.00677663, 0.0710088, X
57.2074, 0.0463038, 0.00681635, 0.0712254, X
57.208, 0.0462127, 0.00681282, 0.0712849, X
57.2325, 0.0461214, 0.00680928, 0.0713444, X
57.2326, 0.0461214, 0.00680928, 0.0713444, X
57.2332, 0.0461214, 0.00680928, 0.0713444, X
57.2416, 0.0461937, 0.00684933, 0.0716618, X
57.2423, 0.0461937, 0.00684933, 0.0716618, X
57.2682, 0.0462853, 0.00685293, 0.0716023, X
57.2683, 0.0462853, 0.00685293, 0.0716023, X
57.2688, 0.0463769, 0.00685652, 0.0715427, X
57.2773, 0.0464445, 0.00686651, 0.0716469, X
57.2779, 0.0464445, 0.00686651, 0.0716469, X
57.3042, 0.0463605, 0.00675456, 0.0717119, X
57.3044, 0.0463605, 0.00675456, 0.0717119, X
57.3049, 0.0463605, 0.00675456, 0.0717119, X
57.3141, 0.0463613, 0.00676445, 0.0719152, X
57.3147, 0.0463613, 0.00676445, 0.0719152, X
57.3385, 0.0462065, 0.00675854, 0.0720154, X
57.3387, 0.0462065, 0.00675854, 0.0720154, X
57.3392, 0.0462065, 0.00675854, 0.0720154, X
57.3483, 0.0462879, 0.00678031, 0.0723462, X
57.3487, 0.0462879, 0.00678031, 0.0723462, X
57.3728, 0.0462248, 0.006778, 0.0723868, X
57.3731, 0.0462248, 0.006778, 0.0723868, X
57.3736, 0.0462248, 0.006778, 0.0723868, X
57.3826, 0.0465861, 0.00681809, 0.0726815, X
57.3832, 0.0465861, 0.00681809, 0.0726815, X
57.4114, 0.0470164, 0.00683556, 0.0724022, X
57.4125, 0.0470164, 0.00683556, 0.0724022, X
57.4127, 0.0470164, 0.00683556, 0.0724022, X
57.4133, 0.0470459, 0.00683694, 0.0723829, X
57.4219, 0.0481138, 0.00698212, 0.0738188, X
57.4225, 0.0481438, 0.00698353, 0.0737991, X
57.4484, 0.0483061, 0.00687827, 0.0737028, X
57.4487, 0.0483061, 0.00687827, 0.0737028, X
57.4493, 0.0483061, 0.00687827, 0.0737028, X
57.4582, 0.049617, 0.00717791, 0.0756425, X
57.4589, 0.0496252, 0.00706314, 0.075648, X
57.4843, 0.049551, 0.00717555, 0.075686, X
57.4845, 0.049551, 0.00717555, 0.075686, X
57.4851, 0.049551, 0.00717555, 0.075686, X
57.4936, 0.050939, 0.00738708, 0.0780241, X
57.4942, 0.050939, 0.00738708, 0.0780241, X
57.5204, 0.0507794, 0.00726239, 0.0781398, X
57.5208, 0.0507794, 0.00726239, 0.0781398, X
57.5215, 0.050771, 0.00738068, 0.0781342, X
57.5309, 0.0521874, 0.00759424, 0.0804677, X
57.5317, 0.0521874, 0.00759424, 0.0804677, X
57.5574, 0.0519813, 0.00758605, 0.0806018, X
57.5575, 0.0519813, 0.00758605, 0.0806018, X
57.5581, 0.0519813, 0.00758605, 0.0806018, X
57.5673, 0.0532383, 0.00778071, 0.0827836, X
57.5679, 0.0532383, 0.00778071, 0.0827836, X
57.5917, 0.0530262, 0.00777223, 0.0829203, X
57.5919, 0.0530262, 0.00777223, 0.0829203, X
57.5925, 0.0530262, 0.00777223, 0.0829203, X
57.602, 0.0539956, 0.00792583, 0.084675, X
57.6027, 0.0539956, 0.00792583, 0.084675, X
57.6286, 0.0537787, 0.0079171, 0.0848137, X
57.6289, 0.0537787, 0.0079171, 0.0848137, X
57.6295, 0.0537787, 0.0079171, 0.0848137, X
57.6385, 0.0546627, 0.00791617, 0.0861995, X
57.6388, 0.0546627, 0.00791617, 0.0861995, X
57.6645, 0.0546535, 0.00804588, 0.0861933, X
57.6648, 0.0547637, 0.00805033, 0.0861229, X
57.6653, 0.0547637, 0.00805033, 0.0861229, X
57.6737, 0.0555267, 0.00817442, 0.0875704, X
57.6741, 0.0555267, 0.00817442, 0.0875704, X
57.6985, 0.0554239, 0.00803809, 0.087648, A
57.6987, 0.0554146, 0.00816989, 0.0876418, A
57.6993, 0.0554146, 0.00816989, 0.0876418, A
57.7073, 0.0561267, 0.00827488, 0.088768, A
57.7078, 0.0560131, 0.00827028, 0.0888402, A
57.7336, 0.0561361, 0.00814138, 0.0887743, A
