Time, Error [mm]
61.8193, -0.0150635
61.8195, -0.0150635
61.8201, -0.0150635
61.8318, -0.015686
61.8321, -0.015686
61.8583, -0.015686
61.8585, -0.015686
61.8591, -0.015686
61.8716, -0.0163218
61.8719, -0.0163218
61.8957, -0.0163218
61.896, -0.0163218
61.8962, -0.0163218
61.8967, -0.0163218
61.9079, -0.0169676
61.9082, -0.0169676
70.8959, -0.0226929
70.896, -0.0226929
70.8966, -0.0226929
70.9052, -0.0228315
70.9058, -0.0228315
70.9318, -0.0228315
70.932, -0.0228315
70.9327, -0.0228315
70.9428, -0.0229455
70.9433, -0.0229455
70.9695, -0.0229455
70.9696, -0.0229455
70.9702, -0.0229455
70.9807, -0.0230321
70.9812, -0.0230321
71.0075, -0.0230321
71.0078, -0.0230321
71.0085, -0.0230321
77.8349, -0.00591352
77.835, -0.00591352
77.8356, -0.00591352
77.8447, -0.00591662
77.8454, -0.00591662
77.871, -0.00591662
77.8713, -0.00591662
77.8718, -0.00591662
77.8807, -0.00590955
77.8814, -0.00590955
77.9075, -0.00590955
77.9078, -0.00590955
77.9085, -0.00590955
77.9173, -0.00590815
77.9176, -0.00590815
77.943, -0.00590815
77.9432, -0.00590815
77.9437, -0.00590815
77.9522, -0.00590991
77.9529, -0.00590991
