Time, Error [mm]
57.6985, -0.00219137
57.6987, -0.00219137
57.6993, -0.00219137
57.7073, -0.00224021
57.7078, -0.00224021
57.7336, -0.00224021
57.7338, -0.00224021
57.734, -0.00224021
57.7344, -0.00224021
57.743, -0.00227941
57.7437, -0.00227941
57.7687, -0.00227941
57.7689, -0.00227941
57.7694, -0.00227941
57.7781, -0.00232056
57.7789, -0.00232056
57.8031, -0.00232056
57.8033, -0.00232056
57.8038, -0.00232056
57.8127, -0.00241614
57.8133, -0.00241614
67.8022, -0.0064385
67.8023, -0.0064385
67.803, -0.0064385
67.8114, -0.00658081
67.812, -0.00658081
67.8385, -0.00658081
67.8387, -0.00658081
67.8394, -0.00658081
67.8474, -0.00673617
67.848, -0.00673617
67.8741, -0.00673617
67.8743, -0.00673617
67.8749, -0.00673617
67.8834, -0.00692878
67.8839, -0.00692878
67.9099, -0.00692878
67.9102, -0.00692878
67.9111, -0.00692878
67.9195, -0.00710307
67.9201, -0.00710307
75.5227, -0.00649094
75.5229, -0.00649094
75.5234, -0.00649094
75.5323, -0.00650445
75.533, -0.00650445
75.5592, -0.00650445
75.5594, -0.00650445
75.5601, -0.00650445
75.5694, -0.00653681
75.5702, -0.00653681
75.5965, -0.00653681
75.5968, -0.00653681
75.5976, -0.00653681
75.6064, -0.00659677
75.6067, -0.00659677
75.6325, -0.00659677
75.6326, -0.00659677
75.6331, -0.00659677
75.6416, -0.00663695
75.6425, -0.00663695
82.9385, -0.00384966
82.9394, -0.00384966
82.9396, -0.00384966
82.9401, -0.00384966
82.9485, -0.00387964
82.9491, -0.00387964
82.9733, -0.00387964
82.9735, -0.00387964
82.9741, -0.00387964
82.983, -0.00391687
82.9836, -0.00391687
83.0092, -0.00391687
83.0095, -0.00391687
83.0101, -0.00391687
83.0195, -0.00397597
83.0201, -0.00397597
83.0453, -0.00397597
83.0456, -0.00397597
83.0463, -0.00397597
83.0548, -0.00401414
83.0554, -0.00401414
83.0832, -0.00401414
83.0835, -0.00401414
83.084, -0.00401414
83.0918, -0.00405077
83.0924, -0.00405077
