Time, F.x, F.y, F.z, Key
19.2264, 0, -0, 0, X
19.2268, 0, -0, 0, X
19.2285, 0, -0, 0, X
19.2286, 0, -0, 0, X
19.2291, 0, -0, 0, X
19.2389, 0, -0, 0, X
19.2391, 0, -0, 0, X
19.2406, 0, -0, 0, X
19.2407, 0, -0, 0, X
19.2412, 0, -0, 0, X
19.251, 0, -0, 0, X
19.2512, 0, -0, 0, X
19.2526, 0, -0, 0, X
19.2528, 0, -0, 0, X
19.2533, 0, -0, 0, X
19.2631, 0, -0, 0, X
19.2634, 0, -0, 0, X
19.2656, 0, -0, 0, X
19.2658, 0, -0, 0, X
19.2662, 0, -0, 0, X
19.2761, 0, -0, 0, X
19.2764, 0, -0, 0, X
19.2786, 0, -0, 0, X
19.2787, 0, -0, 0, X
19.2792, 0, -0, 0, X
19.2886, 0, -0, 0, X
19.2888, 0, -0, 0, X
19.2906, 0, -0, 0, X
19.2907, 0, -0, 0, X
19.2911, 0, -0, 0, X
19.3007, 0, -0, 0, X
19.301, 0, -0, 0, X
19.3026, 0, -0, 0, X
19.3027, 0, -0, 0, X
19.3032, 0, -0, 0, X
19.3129, 0, -0, 0, X
19.3132, 0, -0, 0, X
19.3147, 0, -0, 0, X
19.3148, 0, -0, 0, X
19.3153, 0, -0, 0, X
19.3249, 0, -0, 0, X
19.3252, 0, -0, 0, X
19.3266, 0, -0, 0, X
19.3267, 0, -0, 0, X
19.3272, 0, -0, 0, X
19.3369, 0, -0, 0, X
19.3371, 0, -0, 0, X
19.3386, 0, -0, 0, X
19.3388, 0, -0, 0, X
19.3392, 0, -0, 0, X
19.349, 0, -0, 0, X
19.3494, 0, -0, 0, X
19.3517, 0, -0, 0, X
19.3518, 0, -0, 0, X
19.3523, 0, -0, 0, X
19.3619, 0, -0, 0, X
19.3622, 0, -0, 0, X
19.3637, 0, -0, 0, X
19.3638, 0, -0, 0, X
19.3642, 0, -0, 0, X
19.3736, 0, -0, 0, X
19.3739, 0, -0, 0, X
19.3757, 0, -0, 0, X
19.3759, 0, -0, 0, X
19.3764, 0, -0, 0, X
19.3862, 0, -0, 0, X
19.3864, 0, -0, 0, X
19.3886, 0, -0, 0, X
19.3888, 0, -0, 0, X
19.3893, 0, -0, 0, X
19.3991, 0, -0, 0, X
19.3993, 0, -0, 0, X
19.4006, 0, -0, 0, X
19.4007, 0, -0, 0, X
19.4011, 0, -0, 0, X
19.4097, 0, -0, 0, X
19.41, 0, -0, 0, X
19.4117, 0, -0, 0, X
19.4118, 0, -0, 0, X
19.4123, 0, -0, 0, X
19.4211, 0, -0, 0, X
19.4214, 0, -0, 0, X
19.4237, 0, -0, 0, X
19.4239, 0, -0, 0, X
19.4243, 0, -0, 0, X
19.4331, 0, -0, 0, X
19.4334, 0, -0, 0, X
19.4357, 0, -0, 0, X
19.4359, 0, -0, 0, X
19.4363, 0, -0, 0, X
19.4455, 0, -0, 0, X
19.4457, 0, -0, 0, X
19.4477, 0, -0, 0, X
19.4479, 0, -0, 0, X
19.4483, 0, -0, 0, X
19.4572, 0, -0, 0, X
19.4575, 0, -0, 0, X
19.4597, 0, -0, 0, X
19.4598, 0, -0, 0, X
19.4603, 0, -0, 0, X
19.4691, 0, -0, 0, X
19.4694, 0, -0, 0, X
19.4708, 0, -0, 0, X
19.4711, 0, -0, 0, X
19.4715, 0, -0, 0, X
19.4717, 0, -0, 0, X
19.4722, 0, -0, 0, X
19.4815, 0, -0, 0, X
19.4819, 0, -0, 0, X
19.4838, 0, -0, 0, X
19.4839, 0, -0, 0, X
19.4844, 0, -0, 0, X
19.4934, 0, -0, 0, X
19.4937, 0, -0, 0, X
19.4958, 0, -0, 0, X
19.4959, 0, -0, 0, X
19.4963, 0, -0, 0, X
19.5053, 0, -0, 0, X
19.5057, 0, -0, 0, X
19.5078, 0, -0, 0, X
19.5079, 0, -0, 0, X
19.5083, 0, -0, 0, X
19.5176, 0, -0, 0, X
19.5179, 0, -0, 0, X
19.5198, 0, -0, 0, X
19.5199, 0, -0, 0, X
19.5204, 0, -0, 0, X
19.5294, 0, -0, 0, X
19.5297, 0, -0, 0, X
19.5318, 0, -0, 0, X
