Time, Error [mm]
22.8392, -0.0222764
22.8409, -0.0222764
22.8411, -0.0222764
22.8412, -0.0222764
22.8417, -0.0222764
22.8513, -0.0222955
22.8517, -0.0222955
22.8539, -0.0222955
22.854, -0.0222955
22.8545, -0.0222955
22.8637, -0.02231
22.864, -0.02231
22.8659, -0.02231
22.866, -0.02231
22.8665, -0.02231
22.8757, -0.0223216
22.876, -0.0223216
22.8779, -0.0223216
22.878, -0.0223216
22.8785, -0.0223216
22.8879, -0.0223306
22.8882, -0.0223306
22.8899, -0.0223306
22.89, -0.0223306
22.8905, -0.0223306
22.8995, -0.0223373
22.8999, -0.0223373
22.9019, -0.0223373
22.9021, -0.0223373
22.9025, -0.0223373
22.9113, -0.0223419
22.9116, -0.0223419
22.9129, -0.0223419
22.9131, -0.0223419
22.9135, -0.0223419
22.9227, -0.0223441
22.9231, -0.0223441
22.9249, -0.0223441
22.9251, -0.0223441
22.9256, -0.0223441
22.9343, -0.0223447
22.9346, -0.0223447
22.9359, -0.0223447
22.9361, -0.0223447
22.9365, -0.0223447
32.0411, -0.0375033
32.0429, -0.0375033
32.0431, -0.0375033
32.0437, -0.0375033
32.051, -0.0374812
32.0514, -0.0374812
32.0529, -0.0374812
32.0531, -0.0374812
32.0536, -0.0374812
32.061, -0.0374713
32.0613, -0.0374713
32.063, -0.0374713
32.0631, -0.0374713
32.0636, -0.0374713
32.0708, -0.0374582
32.0711, -0.0374582
32.0729, -0.0374582
32.073, -0.0374582
32.0735, -0.0374582
32.0814, -0.0374572
32.0817, -0.0374572
32.0829, -0.0374572
32.0831, -0.0374572
32.0835, -0.0374572
32.0915, -0.0374643
32.0919, -0.0374643
32.0939, -0.0374643
32.094, -0.0374643
32.0946, -0.0374643
32.1031, -0.0374659
32.1035, -0.0374659
32.1049, -0.0374659
32.105, -0.0374659
32.1056, -0.0374659
32.114, -0.0374914
32.1143, -0.0374914
32.1159, -0.0374914
32.1161, -0.0374914
32.1166, -0.0374914
32.1244, -0.0375317
32.1248, -0.0375317
32.1269, -0.0375317
32.1271, -0.0375317
32.1276, -0.0375317
32.136, -0.0375729
32.1364, -0.0375729
32.138, -0.0375729
32.1381, -0.0375729
32.1386, -0.0375729
32.1474, -0.0376271
32.1478, -0.0376271
32.15, -0.0376271
32.1501, -0.0376271
32.1506, -0.0376271
32.1592, -0.0376803
32.1595, -0.0376803
32.1609, -0.0376803
32.1611, -0.0376803
32.1616, -0.0376803
32.1698, -0.0377217
32.1701, -0.0377217
32.172, -0.0377217
32.1721, -0.0377217
32.1726, -0.0377217
32.1809, -0.0377808
32.1813, -0.0377808
32.183, -0.0377808
32.1831, -0.0377808
32.1836, -0.0377808
40.7668, -0.00771524
40.7671, -0.00771524
40.7688, -0.00771524
40.769, -0.00771524
40.7696, -0.00771524
40.7774, -0.00777344
40.7777, -0.00777344
40.7797, -0.00777344
40.7799, -0.00777344
40.7804, -0.00777344
40.7892, -0.00782205
40.7895, -0.00782205
40.7917, -0.00782205
40.7919, -0.00782205
40.7924, -0.00782205
40.8007, -0.00786121
40.801, -0.00786121
40.8028, -0.00786121
40.8029, -0.00786121
40.8035, -0.00786121
40.8114, -0.00789155
40.8117, -0.00789155
40.8137, -0.00789155
40.8139, -0.00789155
40.8144, -0.00789155
40.8226, -0.00791453
40.823, -0.00791453
40.8247, -0.00791453
40.8248, -0.00791453
40.8253, -0.00791453
40.833, -0.00793196
40.8334, -0.00793196
40.8348, -0.00793196
40.8351, -0.00793196
40.8356, -0.00793196
40.8434, -0.00794296
40.8438, -0.00794296
40.8457, -0.00794296
40.8459, -0.00794296
40.8464, -0.00794296
40.8543, -0.0079485
40.8546, -0.0079485
40.8568, -0.0079485
40.857, -0.0079485
40.8574, -0.0079485
40.8654, -0.00795116
40.8657, -0.00795116
40.8677, -0.00795116
40.8679, -0.00795116
40.8686, -0.00795116
40.876, -0.00794943
40.8762, -0.00794943
